marketplace_sku,asin,im_sku,region,SalesChannel,level_1,Linnworks Title,linnwork's_sku_received_from,Comment  
WB2-X2-W,B0757ZT1NX,WB2-X2W,UK,Amazon.co.uk,ABANDONED ITEMS,IRON BRACKET WHITE 2FT HEAVY,Rida Batool,
MSC-T16RB-3XL-UK,B0CZ9538XV,MSC-T16RB-3XL,UK,Amazon.co.uk,MMA SHORTS,MMA SHORTS T16 RED/BLACK-3XL,Rida Batool,
WAH-W2B,B004XMNZSK,WAH-W2B,UK,Amazon.co.uk,GYM ACCESSORIES,GYM WRIST WRAP BLACK PRO,Rida Batool,
WAN-A4B-S-N-ES,B0B579FJSN,WAN-A4B-S,ES,Amazon.es,GYM ACCESSORIES,GYM ANKLE PRO A4 BLACK-SINGLE,Rida Batool,
SSP-H1P-M-NEW-DE,B0D8411TS5,SSP-H1P-M,DE,Amazon.de,CLOTHING,CLOTHING SAUNA SUIT H1 PINK-M,Rida Batool,
SSP-W1B-2XL-GB,B0C7C7R3KH,SSP-W1B-2XL,UK,Amazon.co.uk,CLOTHING,SWEAT WOMEN'S SHORTS W1 BLACK-2XL,Rida Batool,
BSE-T2R-IT,B08R62S72F,BSE-T2R,IT,Amazon.it,ABANDONED ITEMS,BOXING STRAP ELASTICATED T2 RED,Rida Batool,
KBC-F1PB-8KG-GB,B0D8WNSTGV,KBC-F1PB-8KG,UK,Amazon.co.uk,ABANDONED ITEMS,KETTLE BELL F1 PINK/BLACK-8KG,Rida Batool,
BGR-F6MR-DE-14OZ,B08MWQKL75,BGR-F6MR-14OZ,DE,Amazon.de,BOXING GLOVES,BOXING GLOVES F6 MATTE RED-14OZ,Rida Batool,
FITNESSBAG-5KU,B00TH0TQAY,FB-5KU,UK,Amazon.co.uk,ABANDONED ITEMS,PUNCH BAG NEW FITNESS LIGHT BLUE-5KG,Rida Batool,
HYP-IS2P-N-M-DE,B0BL1KL9X2,HYP-IS2P-M,DE,Amazon.de,HOSIERY ITEMS,HOSIERY INNER STRAP IS2 PINK-M,Rida Batool,
WAH-W4R-L,B08NF86G4F,WAH-W4R-L,UK,Amazon.co.uk,GYM ACCESSORIES,"GYM WRIST WRAP W4 RED 36""-L",Rida Batool,
BGR-F7-IT-R-16OZ,B012D7CFFU,BGR-F7R-16OZ,IT,Amazon.it,BOXING GLOVES,BOXING GLOVE BGR-F7 RED-16oz,Rida Batool,
WAN-A4CG-S-N-IT,B0B577ZN2G,WAN-A4CG-S,IT,Amazon.it,GYM ACCESSORIES,GYM ANKLE PRO A4 CAMO GRAY-SINGLE,Rida Batool,
RKC-GL1-ES,B09BVWHDNH,RKC-GL1,ES,Amazon.es,Composites,FREE ITEMS KEY CHAIN BLACK,Rida Batool,
HGR-F6MP-IT-S,B08NPLQLBB,HGR-F6MP-S,IT,Amazon.it,HEAD GUARDS,HEAD GUARD F6 MATTE PINK-S,Rida Batool,
WGN-R2GN-DE-S/M,B093H1DQ7S,WGN-R2GN-S/M,DE,Amazon.de,ABANDONED ITEMS,WEIGHT LIFTING GLOVES R2 GREEN SHORT STRAP-S/M,Rida Batool,
WBN-9CGN-M-UK,B0B4WT5PWC,WBN-9CGN-M,UK,Amazon.co.uk,ABANDONED ITEMS,"BELT NEO PRENE 6"" CURVE GREEN-M new",Rida Batool,
WBS-RX1U-M,B093WT6DDD,WBS-RX1U-M,UK,Amazon.co.uk,ABANDONED ITEMS,WEIGHT LIFTING STRAP BELT RX1 BLUE-M,Rida Batool,
SBR-F6MP,B0B2WC646P,2SBR-F6MP,UK,Amazon.co.uk,BUNDLES,2PC SPEED BALL F6 MATTE PINK + SWIVEL,Rida Batool,
HYP-SI-U-ES-S,B01MQ50K1M,HYP-SIU-S,ES,Amazon.es,ABANDONED ITEMS,HOSIERY SHIN INSTEP FOAM BLUE-S,Rida Batool,
HYP-IS2B-XL-ES,B0B522SW5L,HYP-IS2B-XL,ES,Amazon.es,HOSIERY ITEMS,HOSIERY INNER STRAP IS2 BLACK-XL,Rida Batool,
SSP-H1SU-M-NEW-DE,B0D841TNYF,SSP-H1SU-M,DE,Amazon.de,CLOTHING,CLOTHING SAUNA SUIT H1 SKY BLUE-M,Rida Batool,
SBS-12PYU-YELLOW,B09M47L95B,SBS-12PYU,UK,Amazon.co.uk,ABANDONED ITEMS,ONLY SPEED BALL STAND 12 PC REG WITH YELLOW/BLUE BALL HEAVY,Rida Batool,
HYP-IS2B-S,B0B321S3L8,HYP-IS2B-S,UK,Amazon.co.uk,HOSIERY ITEMS,HOSIERY INNER STRAP IS2 BLACK-S,Rida Batool,
KP-HYP-K5BB-S-ES,B0CS31355X,HYP-K5BB-S,ES,Amazon.es,HOSIERY ITEMS,HOSIERY KNEE FOAM K5 BLACK/BLACK-S,Rida Batool,
NDH-KBB-IT-S,B08W5BFL1W,NDH-KBB-S,IT,Amazon.it,NEOPRENE ITEMS CHINA,DOUBLE HINGED KNEE BRACE BLACK-S (20255),Rida Batool,
WGN-X3W-IT-L/XL,B095J48RKF,WGN-X3W-L/XL,IT,Amazon.it,ABANDONED ITEMS,WEIGHT LIFTING GLOVES X3 WHITE LONG STRAP-L/XL,Rida Batool,
WBS-RX1PR-M,B093WW1KHF,WBS-RX1PR-M,UK,Amazon.co.uk,ABANDONED ITEMS,WEIGHT LIFTING STRAP BELT RX1 PURPLE-M,Rida Batool,
WGA-T1AG-L-DE,B0CSDS7CY5,WGA-T1AG-L,DE,Amazon.de,GYM GLOVES,GYM WEIGHT LIFTING GLOVES T1 ARMY GREEN-L,Rida Batool,
BGR-J11R-IT-6OZ,B08HNBXMJX,BGR-J11R-6OZ,IT,Amazon.it,ABANDONED ITEMS,BOXING GLOVE REX J11 RED-6OZ,Rida Batool,
2YB-EVA-D02-DE,B08RWWSGYK,2YB-EVA-D02,DE,Amazon.de,Composites,PAIR EVA YOGA BLOCK-DESIGN-2 (18344),Rida Batool,
FPM-PTA4R,B095YVVXMF,FPM-PTA4R,UK,Amazon.co.uk,PRO RANGE,FOCUS PAD PRO TRAINING APEX A4 RED,Rida Batool,
GGR-F12-IT-PINK-L,B00AMZLLDI,GGR-F12P-L,IT,Amazon.it,GRAPPLING GLOVES,GRAPPLING GLOVE NEW MODEL GGRF-12P-L,Rida Batool,
NEO-K501-B,B07813PQ5W,NEO-K501B,UK,Amazon.co.uk,ABANDONED ITEMS,NEO PRENE KNEE 501 BLACK,Rida Batool,
YM-TPE-D8-IT,B08VMTR17G,YM-TPE-D8,IT,Amazon.it,YOGA STUFF,TPE YOGA MAT-DESIGN-8 (17965),Rida Batool,
WAH-W3G-NEW-DE,B0CMJC7H6R,WAH-W3G,DE,Amazon.de,GYM ACCESSORIES,GYM WRIST WRAPS W3 GREY,Rida Batool,
SVP-W2B-L-DE,B0C1NSXNK7,SVP-W2B-L,DE,Amazon.de,CLOTHING,SWEAT VEST WOMEN'S W2 BLACK-L,Rida Batool,
BGL-S5B-DE-16OZ,B07DVLCNJH,BGL-S5B-16-OZ,DE,Amazon.de,ABANDONED ITEMS,BOXING GLOVES LEATHER S5 BLACK-16-oz,Rida Batool,
MSS-R3-2XL,B014W9XRLI,MSS-R3-2XL,UK,Amazon.co.uk,ABANDONED ITEMS,MMA SHORT R3 BLOOD-2XL,Rida Batool,
ANKLETBLUE-EU-XL,B00F9EZLPG,HYP-AU-XL,DE,Amazon.de,ABANDONED ITEMS,HOSIERY ANKLET BLUE-XL,Rida Batool,
SCC-T2R/U-2XL,B0CMJFDM7R,SCC-T2R/U-2XL,UK,Amazon.co.uk,SEMI CONTACT,SEMI CONTACT CHEST GUARD SCC-T2 RED/BLUE-2XL,Rida Batool,
KP-HYP-K5UW-S-IT,B0CS36SLBY,HYP-K5UW-S,IT,Amazon.it,HOSIERY ITEMS,HOSIERY KNEE FOAM K5 BLUE/WHITE-S,Rida Batool,
GDR-F6MGL-M-UK,B0B2KJQ28Z,GDR-F6MGL-M,UK,Amazon.co.uk,ABANDONED ITEMS,GROIN GUARD REX F6 MATTE GOLDEN-M,Rida Batool,
3STRANDCHAIN-EU,B00JHI40JS,PC3-X1S,DE,Amazon.de,ABANDONED ITEMS,IRON 3 PANEL SILVER,Rida Batool,
WBS-RX1PR-IT-M,B093WW1KHF,WBS-RX1PR-M,IT,Amazon.it,ABANDONED ITEMS,WEIGHT LIFTING STRAP BELT RX1 PURPLE-M,Rida Batool,
HYP-IS2P-N-S,B0B5264VR3,HYP-IS2P-S,UK,Amazon.co.uk,HOSIERY ITEMS,HOSIERY INNER STRAP IS2 PINK-S,Rida Batool,
HEADGUARDWHITE/BLACKHGX-T3-XL,B00FCBMXES,HGL-T1W-XL,UK,Amazon.co.uk,ABANDONED ITEMS,HEAD GUARD LEATHER T1 WHITE/BLACK NEW-XL,Rida Batool,
WAC-W8W-M-IT,B0BZS3C4BY,WAC-W8W-M,IT,Amazon.it,GYM ACCESSORIES,GYM LIFTING COTTON 8 STRAPS WHITE-M,Rida Batool,
GGX-R2-B-ES-L,B01BMK91W4,GGX-R2B-L,ES,Amazon.es,ABANDONED ITEMS,GROIN GUARD MESH RED-L,Rida Batool,
